channel_id,alt_category,start_year,views_2017,videos_2017,views_2017_quantile,videos_2017_quantile,views_2018,videos_2018,views_2018_quantile,videos_2018_quantile,views_2019,videos_2019,views_2019_quantile,videos_2019_quantile,monetized_videos,videos,monetized_percentage,avg_no_monetization,median_no_monetization,start_month,monetize_start_abs,monetize_start_rel,videos_with_donation,donation_percentage,videos_with_crypto,crypto_percentage,videos_with_merch_others,merch_others_percentage,videos_with_merch_channel,merch_channel_percentage
UCoP3YX7a0KDP_dD6bWwT5Kw,None,2011,479628.0,22.0,2,2,118803.0,31.0,1,2,7959.0,6.0,0,1,71.0,162,0.4382716049382716,0.6666666666666666,0.0,61,74.0,13.0,0.0,0.0,0.0,0.0,71.0,0.4382716049382716,0.0,0.0
UCpk7Ru_tqTSEiKJzlmFxLgw,Manosphere,2011,505956.0,23.0,2,2,288337.0,42.0,1,2,14669.0,9.0,0,1,67.0,229,0.2925764192139738,1.1179039301310043,0.0,71,118.0,47.0,65.0,0.2838427947598253,0.0,0.0,2.0,0.008733624454148471,0.0,0.0
UC-woTDQWrCsESntNLx2wDmg,None,2017,125511.0,53.0,1,3,2381795.0,103.0,3,3,751132.0,67.0,2,3,17.0,223,0.07623318385650224,0.08520179372197309,0.0,137,140.0,3.0,4.0,0.017937219730941704,0.0,0.0,13.0,0.05829596412556054,0.0,0.0
UCplXdu0g94UynzYCmO2zOjw,Alt-lite,2017,43406.0,51.0,1,3,1508965.5,70.0,3,3,228513.0,88.0,2,3,48.0,209,0.22966507177033493,2.15311004784689,0.0,140,150.0,10.0,48.0,0.22966507177033493,48.0,0.22966507177033493,0.0,0.0,48.0,0.22966507177033493
UCmPny4S6lh-_bjAE3Je-tuQ,None,2017,107847.0,19.0,1,2,251762.0,31.0,1,2,166762.0,20.0,2,2,6.0,70,0.08571428571428572,0.18571428571428572,0.0,137,138.0,1.0,0.0,0.0,0.0,0.0,6.0,0.08571428571428572,0.0,0.0
UCq44SkRjuB4EOO-1pfOJzzA,Alt-lite,2017,785.0,15.0,1,2,65427.0,44.0,1,2,402572.0,20.0,2,2,0.0,79,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCuRH-RxOOIWTX8Xhhs4bUjw,None,2006,6003.0,30.0,1,2,4055.0,24.0,0,2,1308.0,5.0,0,0,0.0,375,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCqDUhDiWJdk3inMxtEPOUWw,Alt-right,2006,17710.5,31.0,1,2,19154.5,30.0,0,2,2028.0,4.0,0,0,34.0,579,0.05872193436960276,0.18652849740932642,0.0,9,35.0,26.0,0.0,0.0,0.0,0.0,34.0,0.05872193436960276,0.0,0.0
UCPIiGQUXkoZYTYi4LZEhSvQ,None,2012,693352.0,20.0,2,2,0.0,0.0,0,0,1236.0,3.0,0,0,0.0,117,0.0,0.0,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCqdICzheBUg6W7DyOYQamJA,Manosphere,2012,267810.0,14.0,2,2,12346.0,2.0,0,0,508.0,1.0,0,0,2.0,36,0.05555555555555555,0.08333333333333333,0.0,79,129.0,50.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,0.0,0.0
UCW0OeoocCAR_a8wdTbFdY-A,None,2017,6560407.0,59.0,4,3,5716519.0,30.0,4,2,274406.0,2.0,2,0,0.0,91,0.0,0.0,0.0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCqxzXCQqNQ9wSwHPtZKHrlQ,Alt-lite,2017,17766803.0,42.0,4,3,9284567.0,32.0,4,2,372329.0,2.0,2,0,1.0,76,0.013157894736842105,0.02631578947368421,0.0,133,136.0,3.0,1.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
UCc9i8iExpVch7swujYEAsCQ,None,2010,0.0,0.0,0,0,52551.0,4.0,0,0,5442.0,1.0,0,0,59.0,186,0.3172043010752688,0.3548387096774194,0.0,52,55.0,3.0,1.0,0.005376344086021506,0.0,0.0,58.0,0.3118279569892473,0.0,0.0
UCr6gdokI-jE_T1b5AmOOdxg,Alt-right,2010,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2.0,16,0.125,0.25,0.0,60,72.0,12.0,0.0,0.0,0.0,0.0,2.0,0.125,0.0,0.0
UCGJi4WCqts6fYp51VX9J0bA,None,2015,70393.0,45.0,1,3,167607.0,48.0,1,2,50805.0,11.0,1,1,175.0,204,0.8578431372549019,6.514705882352941,5.0,110,110.0,0.0,174.0,0.8529411764705882,0.0,0.0,174.0,0.8529411764705882,98.0,0.4803921568627451
UCrBFmNZB-Pwk1n0Bk_Ivwbw,Manosphere,2015,198375.0,41.0,1,3,223529.0,31.0,1,2,78488.0,13.0,1,1,3.0,242,0.012396694214876033,0.012396694214876033,0.0,112,112.0,0.0,0.0,0.0,0.0,0.0,3.0,0.012396694214876033,0.0,0.0
UCLPRFNMahSHuo5HLpPt5JwA,None,2015,127644.0,30.0,1,2,99693.0,20.0,1,1,0.0,0.0,0,0,66.0,66,1.0,1.0,1.0,115,115.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0
UCrBS0YjL5OO8iBnV6f6M-bw,Manosphere,2015,103450.0,35.0,1,2,63143.0,21.0,1,1,4115.0,3.0,0,0,0.0,104,0.0,0.0,0.0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCCewvd5v3s8vbvBVmNxtPGw,None,2018,0.0,0.0,0,0,736746.0,76.0,2,3,434350.0,35.0,2,2,2.0,111,0.018018018018018018,0.018018018018018018,0.0,146,162.0,16.0,2.0,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,0.0
UCrVft1rhiJqIt7USDCwQ9Mg,Alt-lite,2018,0.0,0.0,0,0,478457.0,66.0,2,3,298582.0,29.0,2,2,0.0,95,0.0,0.0,0.0,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCxRzxCzgeuhgYKRVtNOQpUQ,None,2016,7262296.0,112.0,4,4,1783746.0,162.0,3,4,3811.0,1.0,0,0,0.0,430,0.0,0.0,0.0,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCs-brcHDxKqrOGU9cEWuCMQ,Manosphere,2016,6480235.0,438.0,4,4,2071825.0,211.0,3,4,0.0,0.0,0,0,592.0,869,0.6812428078250863,2.996547756041427,4.0,121,130.0,9.0,592.0,0.6812428078250863,0.0,0.0,4.0,0.004602991944764097,0.0,0.0
UCgOfiuubHnhVrc9IEcSk1Nw,None,2012,24991684.0,64.0,4,3,11399661.0,52.0,4,3,4604963.0,28.0,4,2,581.0,714,0.8137254901960784,9.22829131652661,13.0,84,85.0,1.0,576.0,0.8067226890756303,0.0,0.0,573.0,0.8025210084033614,75.0,0.10504201680672269
